1913,70.0,89.0,12.0,83.0,70.0,75.0,88.0,8.0,64.0,76.0,82.0,92.0,75.0,68.0,74.0,80.0,89.0,72.0,,85.0,,62.0,68.0,68.0,,75.0,77.0,8.0,,64.0,,75.4,68.23076923076923,68.4962962962963,68.4868131868132,68.48714019058848,68.48712929046263
1914,,90.0,80.0,89.0,69.0,,55.0,55.0,,15.0,55.0,53.0,55.0,48.0,49.0,5.0,13.0,74.0,62.0,58.0,48.0,49.0,5.0,72.0,73.0,19.0,58.0,70.0,18.0,69.0,,,52.07407407407408,52.07407407407408,52.07407407407408,52.07407407407408,52.07407407407408
1915,73.0,76.0,83.0,87.0,85.0,,99.0,68.0,62.0,73.0,29.0,48.0,56.0,,69.0,4.0,81.0,8.0,76.0,,76.0,,62.0,69.0,75.0,63.0,60.0,68.0,72.0,75.0,,70.2,65.26923076923077,65.45185185185186,65.44532967032967,65.44555457314078,65.44554707638041
1916,8.0,76.0,,,,24.0,83.0,29.0,59.0,,72.0,74.0,20.0,74.0,,79.0,76.0,82.0,77.0,28.0,85.0,68.0,,,,,62.0,65.0,76.0,,,20.2,60.85,58.91428571428572,59.002272727272725,58.99844720496895,58.9986066017316
1917,80.0,77.0,83.0,79.0,78.0,76.0,25.0,69.0,85.0,28.0,65.0,38.0,,67.0,,84.0,86.0,89.0,,86.0,83.0,,,,68.0,69.0,65.0,,,23.0,,746.0,68.31818181818181,97.78260869565216,96.55492424242424,96.60403162055336,96.60214287524069
1918,82.0,76.0,,,85.0,88.0,95.0,82.0,76.0,82.0,85.0,79.0,,72.0,80.0,83.0,,85.0,89.0,88.0,80.0,59.0,54.0,68.0,,,,90.0,74.0,71.0,,,79.26086956521739,79.26086956521739,79.26086956521739,79.2608695652174,79.2608695652174
1919,,82.0,89.0,92.0,64.0,2.0,70.0,62.0,71.0,,99.0,,75.0,75.0,,85.0,71.0,91.0,71.0,65.0,74.0,74.0,81.0,78.0,,70.0,58.0,,63.0,64.0,,71.2,71.91666666666667,71.888,71.88910256410257,71.88906172839506,71.88906318681319
1920,84.0,16.0,88.0,88.0,77.0,72.0,80.0,80.0,67.0,56.0,72.0,53.0,58.0,58.0,74.0,83.0,85.0,66.0,77.0,19.0,58.0,57.0,30.0,,52.0,38.0,69.0,73.0,80.0,83.0,,,65.27586206896552,65.27586206896552,65.27586206896552,65.27586206896552,65.27586206896552
1921,70.0,60.0,62.0,,,22.0,70.0,6.0,60.0,65.0,41.0,41.0,56.0,62.0,62.0,72.0,,62.0,,,8.0,,60.0,6.0,6.0,64.0,22.0,,63.0,,,,47.27272727272727,47.27272727272727,47.27272727272727,47.27272727272727,47.27272727272727
1922,,76.0,86.0,69.0,59.0,64.0,57.0,65.0,73.0,,86.0,85.0,38.0,28.0,23.0,,80.0,,22.0,,68.0,69.0,,,,,54.0,,6.0,76.0,,747.0,59.2,91.95238095238096,90.46363636363635,90.52836438923396,90.52566738816739
1923,,,81.0,68.0,77.0,,85.0,85.0,,68.0,81.0,83.0,68.0,79.0,70.0,68.0,70.0,74.0,73.0,74.0,,,67.0,62.0,59.0,52.0,64.0,68.0,,78.0,,58.4,71.91304347826087,71.35000000000001,71.37252173913045,71.37165551839465,71.37168760064412
1924,76.0,80.0,82.0,,72.0,79.0,87.0,57.0,55.0,58.0,65.0,75.0,82.0,85.0,79.0,77.0,,49.0,39.0,49.0,56.0,70.0,49.0,51.0,40.0,48.0,58.0,69.0,,,,652.0,64.88461538461539,86.62962962962963,85.85302197802197,85.87980155221534,85.87890889974223
1925,76.0,86.0,84.0,24.0,,,20.0,,68.0,69.0,,28.0,28.0,26.0,,66.0,2.0,99.0,57.0,79.0,70.0,77.0,82.0,81.0,78.0,,,54.0,,,,,59.71428571428572,59.71428571428572,59.71428571428572,59.71428571428572,59.71428571428572
1926,67.0,67.0,74.0,76.0,77.0,72.0,55.0,69.0,74.0,63.0,9.0,,,,54.0,56.0,52.0,57.0,67.0,58.0,56.0,,40.0,,53.0,58.0,,60.0,54.0,57.0,,61.4,59.375,59.456,59.45288461538462,59.453,59.45299587912088
1927,63.0,74.0,70.0,6.0,73.0,54.0,45.0,57.0,19.0,54.0,56.0,44.0,,59.0,60.0,66.0,67.0,,24.0,,74.0,69.0,62.0,29.0,68.0,72.0,62.0,56.0,52.0,54.0,,62.4,55.14814814814815,55.40714285714286,55.39821200510856,55.398509700176376,55.39850009710967
1928,88.0,91.0,700.0,83.0,18.0,22.0,,54.0,,72.0,72.0,55.0,59.0,23.0,,22.0,78.0,,51.0,37.0,32.0,84.0,85.0,,69.0,,,32.0,23.0,62.0,,,83.1304347826087,83.1304347826087,83.1304347826087,83.1304347826087,83.13043478260869
1929,70.0,9.9,99.0,65.0,65.0,99.0,,75.0,70.0,74.0,78.0,18.0,84.0,80.0,74.0,84.0,85.0,22.0,72.0,59.0,50.0,,48.0,50.0,49.0,50.0,52.0,57.0,19.0,67.0,,0.99,61.60357142857144,59.51344827586207,59.58311904761904,59.58087160336883,59.58094183600164
