1933,43,45,39,38,45,49,42,46,50,52,52,52,46,39,35,31,51,46,49,54,68,79,41,34,29,31,34,48,53,54,49,45.93
1934,36,34,36,33,35,30,30,30,28,35,40,42,38,35,39,36,38,38,49,50,52,36,39,37,41,37,32,36,35,31,36,37.0
1935,35,29,29,27,34,38,39,43,42,45,41,38,38,38,36,35,36,36,26,24,24,23,34,39,38,40,42,42,37,39,41,35.74
1936,32,37,36,34,46,50,42,40,37,36,39,39,48,43,40,36,27,20,49,42,45,22,45,37,35,35,37,30,26,25,27,39.48
1937,41,32,36,40,35,31,36,26,34,45,44,36,41,43,43,41,48,40,37,47,34,28,31,33,33,42,43,45,46,44,38,37.
1938,45,44,39,47,45,43,55,54,40,34,32,29,34,36,39,29,38,25,30,26,30,38,40,40,32,34,41,42,44,42,56,38.93
1939,50,34,55,57,64,52,54,51,29,57,43,40,42,50,53,54,45,41,44,42,40,33,35,30,27,26,30,35,39,39,47,44.7
1940,40,52,48,48,48,44,45,50,39,31,30,32,28,28,32,38,42,46,45,47,54,45,45,45,40,39,40,43,40,37,35,41.2
1941,52,54,39,40,40,44,43,42,36,29,30,35,38,41,52,48,39,48,52,42,39,43,34,30,32,28,30,36,28,24,13,38.1
1942,42,35,35,29,30,28,33,33,38,40,38,40,38,42,43,37,42,37,40,39,37,42,34,35,32,31,40,41,36,44,43,37.2
1943,42,42,54,46,39,34,41,39,36,35,38,38,25,28,28,27,26,27,28,31,37,28,36,44,44,39,38,34,32,31,36,35.6
1944,44,35,40,42,47,45,41,37,35,34,34,28,24,23,22,21,27,27,27,33,34,34,24,27,22,30,37,38,34,34,34,32.4
1945,37,40,45,45,47,49,34,31,30,29,30,25,25,21,19,20,19,20,25,30,35,41,39,41,39,41,45,51,46,42,45,35.0
1946,41,47,48,54,45,42,42,32,44,52,45,48,50,50,38,28,26,31,35,41,43,40,42,33,31,33,28,22,17,24,27,38.2
1947,33,37,34,34,34,28,31,32,31,33,35,37,43,38,41,39,44,44,38,44,38,41,45,46,45,45,45,38,31,29,34,37.6
1948,38,46,36,33,32,32,35,37,31,36,39,38,38,32,29,29,25,16,25,41,32,30,24,15,16,21,20,27,34,34,32,30.5
1949,45,25,20,40,44,40,38,38,37,35,26,26,29,32,32,39,32,36,33,10,27,38,40,39,29,36,43,41,44,47,36,36.0
1950,42,32,34,39,31,36,38,42,40,46,54,49,44,43,39,50,45,15,45,46,48,49,46,49,49,48,42,40,38,44,43,43.3
1951,52,44,38,40,41,34,32,30,26,28,33,39,39,24,30,36,30,35,32,24,27,39,31,24,20,22,36,25,37,35,29,32.8
1952,40,37,40,40,44,43,41,46,39,38,38,39,45,51,49,38,32,31,32,38,33,34,33,36,29,26,34,39,39,41,39,38.2
